open;high;low;close
569.20;577.86;560.36;565.20
565.20;575.87;563.10;565.78
565.79;574.86;546.78;567.18
567.25;581.02;562.83;572.10
571.92;583.99;570.25;571.77
571.77;585.95;566.77;576.95
576.95;584.99;570.24;574.43
574.47;582.10;569.65;571.80
571.87;578.75;565.45;569.95
569.99;582.46;568.36;572.99
572.14;579.09;559.16;562.63
561.83;573.34;561.13;567.47
567.47;575.00;562.91;565.78
565.03;576.50;562.86;570.15
570.12;576.49;562.72;565.04
565.04;572.86;561.19;565.34
565.34;574.20;561.36;566.28
566.28;598.64;563.32;589.06
590.29;609.05;584.97;597.68
599.66;607.31;586.54;597.45
598.93;609.74;594.99;602.08
602.84;615.92;598.65;609.01
608.30;628.98;605.54;619.41
619.41;627.49;606.80;615.79
615.79;625.00;612.48;615.43
615.43;628.99;588.68;600.26
598.04;609.15;595.98;601.96
600.34;609.61;597.25;601.39
601.38;610.69;599.92;602.41
602.41;608.99;596.28;600.64
600.58;608.99;597.47;599.63
600.97;607.59;595.09;598.06
596.90;609.06;595.95;601.92
601.92;609.50;596.97;602.63
602.64;608.88;594.93;594.93
594.84;601.01;586.18;589.51
589.51;596.42;586.58;589.46
589.47;602.90;587.07;595.41
594.47;603.59;591.78;593.34
594.05;601.99;590.04;592.99
592.96;607.27;590.14;600.41
600.63;608.37;594.02;598.22
599.02;605.30;595.40;597.91
597.89;605.99;594.99;599.54
599.53;608.39;597.12;602.15
602.15;614.28;602.15;606.85
606.85;613.00;598.95;602.51
602.51;612.98;600.53;605.05
606.71;612.84;598.94;601.12
601.12;612.00;599.70;602.41
601.93;610.50;601.02;604.15
604.15;616.34;601.44;608.73
608.73;616.99;606.38;608.20
608.20;614.98;603.90;606.93
606.00;616.47;606.00;609.84
610.21;639.00;608.41;632.61
631.92;640.00;622.47;628.15
628.15;636.00;623.70;627.68
628.81;639.99;624.15;631.82
631.82;642.00;628.90;629.60
628.91;641.40;628.83;632.58
632.58;639.99;625.78;630.54
630.59;637.80;625.20;629.59
629.59;638.04;617.89;621.70
621.56;630.22;618.75;622.60
621.77;632.36;621.23;622.71
622.70;656.00;622.28;647.97
647.97;656.00;641.03;642.25
642.22;652.25;633.60;642.11
642.54;657.58;636.57;645.45
645.45;677.00;645.17;668.36
667.88;685.89;658.93;677.86
677.83;687.23;670.28;679.05
679.05;717.99;678.04;704.02
703.99;711.78;684.58;690.26
690.13;706.97;676.76;690.04
690.07;737.00;688.43;719.33
719.33;742.00;710.15;734.58
734.58;745.19;663.62;678.37
677.99;707.67;674.19;695.67
695.92;707.34;687.76;696.43
696.30;714.36;690.94;702.83
702.82;709.92;691.28;695.83
695.83;712.92;694.01;702.22
701.09;740.86;698.40;714.28
714.28;722.00;699.93;707.33
707.34;720.94;705.12;709.23
709.23;716.39;693.99;695.26
694.16;702.89;676.40;693.38
693.38;705.89;690.17;696.78
697.93;716.54;696.02;703.95
703.96;742.87;701.36;732.31
732.31;749.98;724.90;727.89
728.64;752.95;724.00;741.49
741.49;755.07;735.20;743.24
742.59;753.82;706.86;719.82
719.82;739.20;719.76;729.39
729.55;750.00;722.97;741.73
741.64;749.98;722.62;732.78
732.78;741.15;721.71;728.27
728.27;737.07;720.72;729.70
729.59;737.56;715.08;722.61
722.61;732.00;715.22;720.05
720.05;732.44;716.86;722.24
723.68;733.29;713.79;723.45
723.41;744.49;719.73;734.64
734.64;754.98;732.78;744.02
744.03;778.07;743.26;762.29
763.20;770.99;744.89;753.14
755.34;762.97;744.89;754.38
754.38;762.09;735.57;742.74
742.01;759.90;740.51;751.39
751.38;769.61;744.26;756.35
756.41;772.01;754.67;759.17
759.17;773.99;758.63;761.87
761.87;774.12;760.43;764.56
764.56;772.28;756.37;761.28
761.28;779.00;761.27;769.13
769.23;793.27;757.45;767.60
767.99;781.00;763.03;769.32
769.26;779.08;763.29;768.13
768.54;782.46;763.53;773.51
773.51;790.88;772.56;780.63
780.42;790.99;772.20;780.78
780.46;794.39;779.14;783.09
783.12;803.00;779.23;790.66
790.84;834.97;788.85;824.42
823.70;875.00;819.02;851.36
850.35;920.00;850.34;904.86
905.34;918.50;870.10;883.68
883.68;894.97;850.41;881.76
881.74;905.18;879.12;888.13
888.84;936.42;882.09;921.04
921.04;976.48;920.20;966.71
966.72;980.74;940.50;959.88
960.29;970.00;921.69;949.94
949.94;966.37;934.67;956.64
956.68;1005.00;950.92;987.77
987.77;1032.00;980.11;1002.41
1001.33;1039.00;989.99;1024.89
1025.15;1139.89;1018.27;1103.77
1103.24;1136.72;876.56;994.69
994.68;1026.99;862.29;884.95
885.08;907.05;804.16;897.14
897.14;941.81;872.49;900.65
900.70;912.87;866.25;887.27
887.13;912.47;880.52;896.00
896.19;918.40;747.45;770.83
770.91;832.99;743.83;799.40
